Materials,location,GWP,Ozone Depletion,Particulate Matter,Acidification,Eutrophication Freshwater,Eutrophication Marine,Eutrophication Terrestrial,Ionizing Radiation,Photochemical Ozone Formation,Human Toxicity Cancer,Human Toxicity Non-cancer,Ecotoxicity Fresh Water,Land Use,Water Scarcity,Resource Depletion Energy,Resource Depletion Mineral and Metals
steel,China,2.40E+00,1.15E-08,2.00E-07,8.88E-03,8.44E-04,2.09E-03,2.21E-02,6.35E-02,7.82E-03,2.23E-07,3.04E-08,7.37E+01,6.70E+00,9.12E-01,2.37E+01,6.90E-06
steel,EU,2.40E+00,1.15E-08,2.00E-07,8.88E-03,8.44E-04,2.09E-03,2.21E-02,6.35E-02,7.82E-03,2.23E-07,3.04E-08,7.37E+01,6.70E+00,9.12E-01,2.37E+01,6.90E-06
steel,US,2.40E+00,1.15E-08,2.00E-07,8.88E-03,8.44E-04,2.09E-03,2.21E-02,6.35E-02,7.82E-03,2.23E-07,3.04E-08,7.37E+01,6.70E+00,9.12E-01,2.37E+01,6.90E-06
aluminium,China,2.26E+01,1.02E-07,1.85E-06,1.44E-01,6.37E-03,2.42E-02,2.53E-01,1.68E-01,7.68E-02,3.68E-08,1.51E-07,6.06E+01,3.90E+01,3.14E+00,2.05E+02,1.59E-05
aluminium,EU,1.04E+01,1.25E-07,7.53E-07,7.06E-02,4.03E-03,9.70E-03,9.68E-02,1.19E+00,3.70E-02,4.20E-08,9.98E-08,2.79E+01,1.06E+01,1.08E+01,1.25E+02,1.54E-05
aluminium,US,1.04E+01,1.25E-07,7.53E-07,7.06E-02,4.03E-03,9.70E-03,9.68E-02,1.19E+00,3.70E-02,4.20E-08,9.98E-08,2.79E+01,1.06E+01,1.08E+01,1.25E+02,1.54E-05
copper,China,7.07E+00,6.06E-08,1.27E-06,5.58E-01,4.41E-02,2.73E-02,3.83E-01,7.08E-01,1.08E-01,9.52E-08,5.86E-06,6.42E+02,1.78E+02,5.60E+00,8.53E+01,7.23E-03
copper,EU,7.07E+00,6.06E-08,1.27E-06,5.58E-01,4.41E-02,2.73E-02,3.83E-01,7.08E-01,1.08E-01,9.52E-08,5.86E-06,6.42E+02,1.78E+02,5.60E+00,8.53E+01,7.23E-03
copper,US,7.07E+00,6.06E-08,1.27E-06,5.58E-01,4.41E-02,2.73E-02,3.83E-01,7.08E-01,1.08E-01,9.52E-08,5.86E-06,6.42E+02,1.78E+02,5.60E+00,8.53E+01,7.23E-03
aluminium silicate,China,8.62E-01,5.13E-09,8.01E-08,6.07E-03,2.35E-04,8.66E-04,1.29E-02,2.00E-02,2.84E-03,3.13E-09,1.14E-08,1.40E+01,5.73E+00,3.65E-01,7.42E+00,1.64E-05
aluminium silicate,EU,7.20E-01,9.68E-09,4.09E-08,4.38E-03,2.22E-04,5.69E-04,9.78E-03,2.96E-02,1.98E-03,2.47E-09,1.04E-08,1.30E+01,4.76E+00,3.60E-01,6.90E+00,1.57E-05
aluminium silicate,US,8.62E-01,5.13E-09,8.01E-08,6.07E-03,2.35E-04,8.66E-04,1.29E-02,2.00E-02,2.84E-03,3.13E-09,1.14E-08,1.40E+01,5.73E+00,3.65E-01,7.42E+00,1.64E-05
rubber,China,3.34E+00,9.36E-08,2.22E-07,1.45E-02,8.39E-04,2.65E-03,2.79E-02,2.47E-01,1.81E-02,1.24E-08,3.10E-08,2.29E+01,1.51E+01,1.78E+00,8.28E+01,4.45E-05
rubber,EU,3.34E+00,9.36E-08,2.22E-07,1.45E-02,8.39E-04,2.65E-03,2.79E-02,2.47E-01,1.81E-02,1.24E-08,3.10E-08,2.29E+01,1.51E+01,1.78E+00,8.28E+01,4.45E-05
rubber,US,3.34E+00,9.36E-08,2.22E-07,1.45E-02,8.39E-04,2.65E-03,2.79E-02,2.47E-01,1.81E-02,1.24E-08,3.10E-08,2.29E+01,1.51E+01,1.78E+00,8.28E+01,4.45E-05
plastic,China,1.09E+00,1.34E-08,6.54E-08,5.17E-03,4.48E-04,1.13E-03,1.07E-02,1.54E-01,3.28E-03,1.55E-09,7.09E-09,3.14E+00,2.27E+00,2.30E-01,1.38E+01,1.27E-06
plastic,EU,1.09E+00,1.34E-08,6.54E-08,5.17E-03,4.48E-04,1.13E-03,1.07E-02,1.54E-01,3.28E-03,1.55E-09,7.09E-09,3.14E+00,2.27E+00,2.30E-01,1.38E+01,1.27E-06
plastic,US,1.09E+00,1.34E-08,6.54E-08,5.17E-03,4.48E-04,1.13E-03,1.07E-02,1.54E-01,3.28E-03,1.55E-09,7.09E-09,3.14E+00,2.27E+00,2.30E-01,1.38E+01,1.27E-06
silicon carbide,China,7.32E+00,7.99E-08,3.07E-07,3.71E-02,2.36E-03,5.96E-03,6.28E-02,9.00E-01,2.23E-02,9.29E-09,3.53E-08,1.57E+01,1.84E+01,1.27E+00,1.05E+02,6.82E-06
